"","County","OSM_ALL","GEODIR_ALL","OSM_S","GEODIR_S","OSM_G","GEODIR_G","OSM_O","GEODIR_O","OSM_P","GEDOIR_P","OSM_I","GEODIR_I","OSM_Q","GEODIR_Q"
"1","CARLOW","88","2943","16","184","5","330","2","21","0","98","7","190","1","80"
"2","CAVAN","128","5613","16","358","5","587","4","61","8","116","5","349","1","132"
"3","CLARE","1914","8381","27","436","79","806","9","86","59","228","28","774","13","213"
"4","CORK","1172","24382","76","1499","112","3286","26","333","136","801","43","1915","22","892"
"5","DONEGAL","577","9977","43","619","40","1158","9","86","19","288","26","861","3","252"
"6","DUBLIN","4077","17251","204","1731","254","4060","40","310","256","962","325","2011","100","1604"
"7","GALWAY","1135","14584","85","660","61","1363","16","123","154","405","65","1202","6","473"
"8","KERRY","233","10408","21","497","10","1234","3","131","8","267","27","1236","3","297"
"9","KILDARE","1062","5383","35","356","26","779","12","48","68","224","30","405","9","323"
"10","KILKENNY","1138","6131","52","367","24","742","3","50","70","167","27","489","5","189"
"11","LAOIGHIS","196","4163","20","280","3","439","16","36","20","131","10","236","2","127"
"12","LEITRIM","144","2864","21","171","5","219","5","31","10","78","15","163","3","61"
"13","LIMERICK","318","9291","27","594","17","1271","3","106","22","302","14","685","4","361"
"14","LONGFORD","116","2671","7","163","0","308","1","28","0","67","0","146","0","80"
"15","LOUTH","71","3630","11","228","10","553","1","51","0","116","9","298","0","143"
"16","MAYO","258","13054","24","515","6","1066","6","84","31","305","8","809","5","276"
"17","MEATH","376","7975","17","525","22","1115","5","90","28","240","20","497","10","374"
"18","MONAGHAN","44","5696","8","315","2","535","3","69","3","101","7","219","1","111"
"19","OFFALY","273","3697","29","217","11","363","5","34","21","99","26","214","6","104"
"20","ROSCOMMON","275","6195","31","291","4","570","3","63","25","148","15","344","3","135"
"21","SLIGO","772","4645","45","269","30","457","4","44","30","126","19","304","5","116"
"22","TIPPERARY","299","11228","30","712","17","1457","5","160","22","284","18","726","4","329"
"23","WATERFORD","1004","4981","46","340","37","682","6","71","77","184","31","502","19","191"
"24","WESTMEATH","396","4532","12","271","63","527","5","54","20","145","8","259","12","167"
"25","WEXFORD","1767","6983","88","459","6","891","7","46","25","220","40","548","8","194"
"26","WICKLOW","341","4346","21","356","10","694","6","48","23","204","16","398","2","200"
