"","County","percent","variable"
"1","CARLOW","0.03","percent_ALL"
"2","CAVAN","0.02","percent_ALL"
"3","CLARE","0.23","percent_ALL"
"4","CORK","0.05","percent_ALL"
"5","DONEGAL","0.06","percent_ALL"
"6","DUBLIN","0.24","percent_ALL"
"7","GALWAY","0.08","percent_ALL"
"8","KERRY","0.02","percent_ALL"
"9","KILDARE","0.2","percent_ALL"
"10","KILKENNY","0.19","percent_ALL"
"11","LAOIGHIS","0.05","percent_ALL"
"12","LEITRIM","0.05","percent_ALL"
"13","LIMERICK","0.03","percent_ALL"
"14","LONGFORD","0.04","percent_ALL"
"15","LOUTH","0.02","percent_ALL"
"16","MAYO","0.02","percent_ALL"
"17","MEATH","0.05","percent_ALL"
"18","MONAGHAN","0.01","percent_ALL"
"19","OFFALY","0.07","percent_ALL"
"20","ROSCOMMON","0.04","percent_ALL"
"21","SLIGO","0.17","percent_ALL"
"22","TIPPERARY","0.03","percent_ALL"
"23","WATERFORD","0.2","percent_ALL"
"24","WESTMEATH","0.09","percent_ALL"
"25","WEXFORD","0.25","percent_ALL"
"26","WICKLOW","0.08","percent_ALL"
"31","CARLOW","0.09","percent_S"
"81","CAVAN","0.04","percent_S"
"110","CLARE","0.06","percent_S"
"27","CORK","0.05","percent_S"
"41","DONEGAL","0.07","percent_S"
"181","DUBLIN","0.12","percent_S"
"191","GALWAY","0.13","percent_S"
"201","KERRY","0.04","percent_S"
"171","KILDARE","0.1","percent_S"
"211","KILKENNY","0.14","percent_S"
"101","LAOIGHIS","0.07","percent_S"
"71","LEITRIM","0.12","percent_S"
"221","LIMERICK","0.05","percent_S"
"231","LONGFORD","0.04","percent_S"
"111","LOUTH","0.05","percent_S"
"51","MAYO","0.05","percent_S"
"61","MEATH","0.03","percent_S"
"241","MONAGHAN","0.03","percent_S"
"251","OFFALY","0.13","percent_S"
"91","ROSCOMMON","0.11","percent_S"
"261","SLIGO","0.17","percent_S"
"151","TIPPERARY","0.04","percent_S"
