"","County","NACECODE_G_PERCENT"
"23","CARLOW","0.02"
"19","CAVAN","0.01"
"2","CLARE","0.1"
"24","CORK","0.03"
"3","DONEGAL","0.03"
"4","DUBLIN","0.06"
"22","GALWAY","0.04"
"16","KERRY","0.01"
"5","KILDARE","0.03"
"6","KILKENNY","0.03"
"25","LAOIGHIS","0.01"
"20","LEITRIM","0.02"
"18","LIMERICK","0.01"
"21","LONGFORD","0"
"7","LOUTH","0.02"
"8","MAYO","0.01"
"9","MEATH","0.02"
"10","MONAGHAN","0"
"11","OFFALY","0.03"
"12","ROSCOMMON","0.01"
"13","SLIGO","0.07"
"14","TIPPERARY","0.01"
"15","WATERFORD","0.05"
"17","WESTMEATH","0.12"
"26","WEXFORD","0.01"
"1","WICKLOW","0.01"
