"","County","NACECODE_I_PERCENT"
"21","CARLOW","0.04"
"24","CAVAN","0.01"
"1","CLARE","0.04"
"22","CORK","0.02"
"23","DONEGAL","0.03"
"25","DUBLIN","0.16"
"26","GALWAY","0.05"
"2","KERRY","0.02"
"3","KILDARE","0.07"
"4","KILKENNY","0.06"
"5","LAOIGHIS","0.04"
"6","LEITRIM","0.09"
"7","LIMERICK","0.02"
"20","LONGFORD","0"
"8","LOUTH","0.03"
"9","MAYO","0.01"
"10","MEATH","0.04"
"11","MONAGHAN","0.03"
"12","OFFALY","0.12"
"13","ROSCOMMON","0.04"
"14","SLIGO","0.06"
"15","TIPPERARY","0.02"
"16","WATERFORD","0.06"
"17","WESTMEATH","0.03"
"18","WEXFORD","0.07"
"19","WICKLOW","0.04"
