"","County","NACECODE_O_PERCENT"
"23","CARLOW","0.1"
"24","CAVAN","0.07"
"7","CLARE","0.1"
"10","CORK","0.08"
"18","DONEGAL","0.1"
"19","DUBLIN","0.13"
"11","GALWAY","0.13"
"25","KERRY","0.02"
"13","KILDARE","0.25"
"14","KILKENNY","0.06"
"15","LAOIGHIS","0.44"
"1","LEITRIM","0.16"
"2","LIMERICK","0.03"
"3","LONGFORD","0.04"
"4","LOUTH","0.02"
"21","MAYO","0.07"
"9","MEATH","0.06"
"12","MONAGHAN","0.04"
"20","OFFALY","0.15"
"16","ROSCOMMON","0.05"
"17","SLIGO","0.09"
"5","TIPPERARY","0.03"
"6","WATERFORD","0.08"
"8","WESTMEATH","0.09"
"22","WEXFORD","0.15"
"26","WICKLOW","0.12"
