"","County","NACECODE_Q_PERCENT"
"2","CARLOW","0.01"
"3","CAVAN","0.01"
"4","CLARE","0.06"
"25","CORK","0.02"
"5","DONEGAL","0.01"
"15","DUBLIN","0.06"
"26","GALWAY","0.01"
"6","KERRY","0.01"
"18","KILDARE","0.03"
"19","KILKENNY","0.03"
"20","LAOIGHIS","0.02"
"21","LEITRIM","0.05"
"22","LIMERICK","0.01"
"14","LONGFORD","0"
"17","LOUTH","0"
"23","MAYO","0.02"
"7","MEATH","0.03"
"1","MONAGHAN","0.01"
"8","OFFALY","0.06"
"9","ROSCOMMON","0.02"
"10","SLIGO","0.04"
"11","TIPPERARY","0.01"
"12","WATERFORD","0.1"
"13","WESTMEATH","0.07"
"24","WEXFORD","0.04"
"16","WICKLOW","0.01"
