"","County","NACECODE_S_PERCENT"
"3","CARLOW","0.09"
"8","CAVAN","0.04"
"1","CLARE","0.06"
"2","CORK","0.05"
"4","DONEGAL","0.07"
"18","DUBLIN","0.12"
"19","GALWAY","0.13"
"20","KERRY","0.04"
"17","KILDARE","0.1"
"21","KILKENNY","0.14"
"10","LAOIGHIS","0.07"
"7","LEITRIM","0.12"
"22","LIMERICK","0.05"
"23","LONGFORD","0.04"
"11","LOUTH","0.05"
"5","MAYO","0.05"
"6","MEATH","0.03"
"24","MONAGHAN","0.03"
"25","OFFALY","0.13"
"9","ROSCOMMON","0.11"
"26","SLIGO","0.17"
"15","TIPPERARY","0.04"
"12","WATERFORD","0.14"
"13","WESTMEATH","0.04"
"14","WEXFORD","0.19"
"16","WICKLOW","0.06"
